"OLS1Est","OLS1SE","OLS1Cover","OLS1BSE","OLS1BCover","SSC1Est","SSC1SE","SSC1Cover","SSC1BSE","SSC1BCover","SSC1Length","SSC1CPCover","SSC1RegEst","SSC1RegSE","SSC1RegCover","SSC1RegBSE","SSC1RegBCover","SSC1RegLength","SSC1RegCPCover","SSC1RegLambda","OLS2Est","OLS2SE","OLS2Cover","OLS2BSE","OLS2BCover","SSC2Est","SSC2SE","SSC2Cover","SSC2BSE","SSC2BCover","SSC2Length","SSC2CPCover","SSC2RegEst","SSC2RegSE","SSC2RegCover","SSC2RegBSE","SSC2RegBCover","SSC2RegLength","SSC2RegCPCover","SSC2RegLambda","SCPIEst","SCPISE","SCPICover","SCPILength"
3.13945409035948,0.0980481704233805,1,0.188102078317893,1,2.99831669640452,0.128656021896499,1,0.248750412366582,1,2.81,1,2.99752824161507,0.120847948039065,1,0.214587426048236,1,2.56,1,-5.36366226693456,3.02028147587848,0.172645646826065,1,0.421640578284208,1,3.15493256033215,0.221420265736622,1,0.419717311500554,1,2.81,1,3.14600109145388,0.207784450229748,1,0.34486066196275,1,2.56,1,-5.36366226693456,4.59960930429106,0.397388309095521,1,1.48658529562265
3.19439220467235,0.0830787674138336,0,0.168060893592297,1,3.02652873109411,0.104400660447228,1,0.217370979569813,1,2.53,1,3.0265642825853,0.104299406525258,1,0.242633217648531,1,2.53,1,-6.99993151768719,2.93594265000579,0.153398456564548,1,0.313358310910978,1,3.0056181785434,0.218736529883043,1,0.403899627290675,1,2.53,1,3.00564214762802,0.218460195613343,1,0.473002075181882,1,2.53,1,-6.99993151768719,4.59936586745889,0.486522027299607,1,2.16189055378389
3.16020207589199,0.0959111082020664,1,0.210799046242764,1,2.94951524824781,0.118986949734228,1,0.229054635163039,1,2.99,1,2.95998943615438,0.107720191882816,1,0.259693944556759,1,2.28,1,-4.76153383751971,2.90754024665887,0.160142479736866,1,0.427653084470198,1,2.85144109962156,0.205689982290396,1,0.403596411881781,1,2.99,1,2.90416362553554,0.176980688648709,1,0.381066093109651,1,2.28,1,-4.76153383751971,4.51723599469751,0.425214142718912,1,1.92803713555362
3.23127876966407,0.109517247764115,0,0.275645766481166,1,3.00840841802261,0.14270314293772,1,0.327212121463664,1,3.4,1,3.02362145083994,0.118712045530711,1,0.262266074102529,1,2.15,1,-4.62706147541741,2.88843369630024,0.193879533141327,1,0.373074568274224,1,2.92673613026155,0.315710230159147,1,0.508331006440979,1,3.4,1,3.004271389382,0.225085378192757,1,0.495130701005428,1,2.15,1,-4.62706147541741,4.5972752808785,0.439830888062424,1,1.58180701342605
3.21934747877687,0.103899357718565,0,0.288964118443114,1,3.03993065395179,0.124201110302885,1,0.24838743867923,1,2.19,1,3.04363368414563,0.11014734714065,1,0.245435468112479,1,2.07,1,-3.75393305556798,2.90476907184361,0.174193081798239,1,0.48645555312587,1,2.98538205594835,0.204614163516645,1,0.428354425895628,1,2.19,1,2.94629494061813,0.184498270522919,1,0.460981661435697,1,2.07,1,-3.75393305556798,4.59123472888598,0.468021577158274,1,1.98519444691004
3.33616263915019,0.0839871155616475,0,0.212429881714952,1,3.17741712736797,0.110029136029717,1,0.223290466293105,1,2.22,1,3.14651817525002,0.0927238311920882,1,0.137307805909056,1,1.97,1,-4.42004310908038,2.85046991677218,0.154211338679665,1,0.410848678497592,1,2.87959311100956,0.20740898537322,1,0.393530496305156,1,2.22,1,2.88179255602364,0.163780490500397,1,0.312177890539802,1,1.97,1,-4.42004310908038,4.66881064341762,0.459485361772216,1,1.60885451383124
3.30452552842135,0.0936164516316557,0,0.216720904289053,1,3.13028704862386,0.101129105963228,1,0.202099394936106,1,2.56,1,3.13014977251602,0.101005012160962,1,0.214042610241241,1,2.55,1,-6.39993978302072,2.67457175146642,0.178886987171737,1,0.243979737655402,1,2.67142778542517,0.245849791255469,1,0.386263231850107,1,2.56,1,2.67142742559708,0.242339272838701,1,0.348322357868269,1,2.55,1,-6.39993978302072,4.57759617958365,0.516306383987156,1,1.50501284622283
3.37319475496702,0.0995156055536829,0,0.237573915261668,1,3.29009791530013,0.293455429134159,1,0.270299975810219,1,4.06,1,3.20863561839724,0.113250710202277,1,0.173775505974608,1,2.34,1,-5.15676558466676,2.75427694968196,0.160774311075453,1,0.345265917875488,1,2.7214717533514,0.364269949905319,1,0.419130390396032,1,4.06,1,2.84103510422814,0.180484304349908,1,0.318115250352739,1,2.34,1,-5.15676558466676,4.65648614185544,0.45201490353772,1,1.38435109459255
3.27081273668231,0.0917534222051063,0,0.22901177090132,1,3.15169166778999,0.10666184971296,1,0.140476450808303,1,2.14,1,3.1515901190573,0.106588838363521,1,0.196586639537952,1,2.14,1,-6.99993138897986,2.81147038052116,0.157171060325232,1,0.393309494050014,1,2.97673810346427,0.207982703687356,1,0.403435124372317,1,2.14,1,2.97697985334134,0.207483668345967,1,0.328339566134345,1,2.14,1,-6.99993138897986,4.59993101523534,0.4197391221258,1,1.53503282332003
3.29110845415533,0.0911861220762011,0,0.179088356593894,1,3.21003003217087,0.169600111053038,1,0.192356256882496,1,5.46,1,3.20888430854798,0.167765882071754,1,0.29087129263724,1,5.42,1,-6.99993686802091,2.8209440999068,0.168457197426931,1,0.292497786530394,1,2.90593088420696,0.331547784418659,1,0.43189025545956,1,5.46,1,2.90569094176033,0.328705676276532,1,0.32605504510249,1,5.42,1,-6.99993686802091,4.61211454772868,0.471944928015619,1,1.793697607305
