"OLSEst","OLSSE","OLSCover","OLSBSE","OLSBCover","SSCEst","SSCSE","SSCCover","SSCBSE","SSCBCover","SSCLength","SSCCPCover","SSCRegEst","SSCRegSE","SSCRegCover","SSCRegBSE","SSCRegBCover","SSCRegLength","SSCRegCPCover","SSCRegLambda","SCPIEst","SCPISE","SCPICover","SCPILength"
3.27186101357037,0.177571002054227,1,0.149033827364561,1,3.85343524583223,0.801835123466333,1,0.65254628955114,1,4.02,1,3.07176573555639,0.204568431977163,1,0.193552946364856,1,2.3,1,-2.01949701451989,3.15734355871182,0.770636702847778,1,3.81126039303619
3.22844533540164,0.211960982842801,1,0.266481978665325,1,3.4102546564117,0.607334287971519,1,0.595801773119219,1,4.2,1,2.97013189960263,0.210918683015115,1,0.302045835101672,1,2.48,1,-2.84934424070058,2.98304533949594,0.919625017949127,1,2.2168451999322
2.98252344113122,0.153792433314999,1,0.183803721789383,1,2.95390591238274,0.164167916921162,1,0.203031152548883,1,2.45,1,2.88307648664353,0.15809433447446,1,0.172683615740472,1,1.85,1,-2.6562904860187,2.98825940166145,0.641948972107806,1,1.9977574777856
3.07272756328583,0.205368709309253,1,0.270814812608686,1,2.70507161623246,0.300843697954863,1,0.328313104346795,1,2.44,1,2.75677055458364,0.259381186901448,1,0.252642153082851,1,2.32,1,-2.73494387396692,3.02334719226372,0.736463969673355,1,3.89465397821498
3.50654159571451,0.215030901628391,0,0.31439234747464,1,3.38377079691582,0.290282990176972,1,0.373365771396103,1,2.46,1,3.34882982879731,0.251587819797831,1,0.36114566467001,1,2.27,1,-3.45656245391868,3.38113330120962,0.777975699896196,1,1.93067876964457
3.23338799110192,0.174225289220745,1,0.169533908319552,1,3.02227612335768,0.281369575001794,1,0.315380795146792,1,2.83,1,2.84684554748292,0.198395998687499,1,0.191567228830872,1,2.06,1,-2.11699923664994,3.01970773717347,0.653074765828317,1,2.38309911373895
3.07298101373615,0.167531080603353,1,0.182265698943329,1,2.730056778173,0.192494072055002,1,0.212079113502174,1,2.01,0,2.81054737624364,0.175288133468502,1,0.173589208176435,1,2.16,1,-1.88226787342783,2.99374796265519,0.673317239889588,1,2.30337533843757
3.50969829156356,0.15809083674482,0,0.181377834665135,0,3.43174081717218,0.211764666664012,0,0.142175065248223,0,2.92,1,3.32783045795218,0.197696491530428,1,0.34799322641548,1,2.08,1,-1.46882550195847,3.35608539448087,0.630367785025894,1,1.96094696740698
3.42577654974058,0.181507287328826,0,0.175231208743303,0,3.53538685475368,0.381270662707197,1,0.346255503313396,1,2.82,1,3.46874001533593,0.303985360773333,1,0.419406499593637,1,2.61,1,-4.06976605488783,3.12565984700907,0.956644581517862,1,2.4387297172334
3.35629737084561,0.187920759804265,1,0.253368753222841,1,3.21559347393091,0.270548328122056,1,0.311945435206021,1,3.37,1,3.12058311440224,0.189707765091045,1,0.204984426510904,1,2.87,1,-3.45894147717517,3.22471216266808,0.651565090228012,1,2.25459361229613
3.22211002924708,0.155186105255786,1,0.150937474051921,1,3.27004588966342,0.194362111241138,1,0.293321321369213,1,2.11,1,3.13310949250693,0.160116733665031,1,0.165880195561679,1,1.78,1,-1.78264883568878,3.01466726733269,0.555541495997249,1,2.44642637058902
3.02461764449567,0.157033748575662,1,0.13328880690886,1,2.82507812296667,0.30360393429223,1,0.370499057667948,1,4.14,1,2.84141729105287,0.169793127664636,1,0.206341253068727,1,2.34,1,-2.64010152399178,2.7859567408176,0.686949652324506,1,3.52860392185945
3.08460904303296,0.160400674415965,1,0.182813739186449,1,2.85333037701464,0.261483307128626,1,0.353267478807032,1,3.47,0,2.84561871254089,0.240626244729835,1,0.207732568883467,1,2.89,1,-3.91353286269192,3.00436066991609,0.700478372187407,1,2.40517292445334
3.21811222539066,0.153662062974269,1,0.150215486604795,1,2.65331690970959,0.351784771175999,1,0.708310668650171,1,4.39,1,2.91340712993812,0.195922049568928,1,0.212510580939801,1,2.38,1,-1.73731274521407,3.04559633910941,0.71891722788467,1,2.63382821325019
3.220642670742,0.171177361419708,1,0.150958518115043,1,2.98056834694555,0.194756530172764,1,0.225344415573052,1,2.25,0,2.99009072433168,0.190121228332231,1,0.210720093896069,1,2.11,0,-3.62928247142762,3.09867369208215,0.804964431122159,0,2.13668071231046
3.06349759024329,0.199243810962106,1,0.197613147840298,1,2.93170213473691,0.277666728847765,1,0.253437960233965,1,2.71,1,2.92344272003286,0.216657056278333,1,0.197066757018978,1,2.21,1,-3.25076262397934,2.8392083366135,0.683224593896337,1,3.63052506083055
3.29723639093185,0.176096897255866,1,0.179250876603543,1,2.48167328759673,1.0962683193172,1,1.37583387706543,1,4.62,1,2.80742761921938,0.353971712494053,1,0.507142007973503,1,2.76,1,-3.91763850865394,2.83094228980359,1.37383641416789,1,3.69327633324614
3.36621168412897,0.20707706100425,1,0.27685760478539,1,3.27986564306883,0.296103834043568,1,0.365845510143237,1,2.43,1,3.04595282674738,0.197204372666083,1,0.229883580127672,1,2.17,1,-2.12146089783608,3.31333945122262,0.769865869693879,1,2.27671950472263
3.27287429451584,0.13953823632695,1,0.158344118130834,1,3.17185840981799,0.268053601460188,1,0.37433948190088,1,2.35,1,3.23748799798991,0.176282177459022,1,0.17862485279608,1,1.89,1,-3.73488971859685,3.21709862224426,0.549485385487843,1,1.45182579602621
2.87919383936545,0.146648880875381,1,0.203859514413327,1,2.77377261318943,0.257422205267715,1,0.436684505305673,1,2.81,1,2.75415207654306,0.227514412732902,1,0.263150065591383,1,2.54,1,-3.7999397442777,2.68532293315651,0.691627762181853,1,2.03086694844703
3.1876978954308,0.139373134629144,1,0.146545302072845,1,3.21823939853092,0.282607446553032,1,0.333006603280058,1,3.48,1,3.09845812049001,0.165701820033854,1,0.278040617653454,1,2.32,1,-3.43945496077063,3.06138148905676,0.68243037989157,1,2.11507523168381
3.02895280450034,0.135701251378297,1,0.118518216862294,1,2.82358107386985,0.247040746261532,1,0.282971280354431,1,1.94,1,2.88614836821097,0.165570278953902,1,0.126868282452256,1,1.91,1,-3.20575186011173,2.77863435045712,0.594762638699282,1,2.38461089087073
3.13704697851735,0.124710571938456,1,0.107798712989469,1,2.99485418497399,0.154319486373212,1,0.242321719141838,1,2.44,1,2.9942429583661,0.150544204741704,1,0.0900998504553728,1,2.27,1,-4.45011394017413,3.0838715751005,0.641195657379923,1,2.33500476310236
3.22857366327678,0.166259966267845,1,0.244655036504594,1,2.94471678310316,0.228281931243565,1,0.289450075915171,1,2.43,1,2.91955892431958,0.202747068311642,1,0.215392742889445,1,2.35,1,-3.59993974129747,3.12528446312114,0.592875915941074,1,2.37831576708488
3.22421188624221,0.193307097940274,1,0.217893066752914,1,3.01247759552082,0.201860701385481,1,0.224865311343325,1,2.52,1,3.01479504026574,0.200368403272792,1,0.255437088711889,1,2.42,1,-3.63071466658442,3.1008353148614,0.709942099836361,1,2.0313934324892
3.07545329478106,0.128562591485161,1,0.185889539630278,1,2.83077195768043,0.183154566199881,1,0.218859379962798,1,2.1,1,2.84337337136573,0.171984779877418,1,0.155792162226875,1,1.95,1,-3.94288697815275,2.91783008904671,0.51330020460696,1,1.98313018000785
3.02018220351489,0.147256327696033,1,0.185841638337795,1,2.7889059924362,0.186440622562328,1,0.219191027573089,1,2.43,1,2.87724612645298,0.159570427817148,1,0.191475865915238,1,1.9,1,-2.26715860819246,2.88133840880354,0.677757592387944,1,2.5822065534698
3.36053131196298,0.160208853280198,0,0.150334986288479,0,3.27544737509276,0.224829057904682,1,0.240738738363854,1,2.11,1,3.27269204190689,0.173588351157305,1,0.183726447241538,1,1.73,1,-3.00918571116991,3.16392460472059,0.874722897473254,1,2.11199066571211
