"Time","SPSC","SPSC_Reg","SPSC_LB","SPSC_UB","SPSC_Reg_LB","SPSC_Reg_UB"
244,-0.660195823113997,-0.56975095118517,-0.686195823113997,-0.616195823113997,-0.67375095118517,-0.46775095118517
245,-0.66680496925496,-0.575283068062141,-0.69280496925496,-0.62280496925496,-0.679283068062141,-0.47328306806214
246,-0.672834344947915,-0.580226401589162,-0.698834344947915,-0.628834344947915,-0.684226401589162,-0.478226401589162
247,-0.681044565450184,-0.588024109524743,-0.707044565450184,-0.637044565450184,-0.692024109524743,-0.486024109524743
248,-0.68924064874008,-0.593703666100146,-0.71324064874008,-0.64324064874008,-0.697703666100146,-0.491703666100146
249,-0.727545405516134,-0.627618728628414,-0.751545405516134,-0.681545405516134,-0.731618728628414,-0.525618728628414
250,-0.770740466918416,-0.633125123593794,-0.864740466918416,-0.722740466918416,-0.737125123593794,-0.531125123593793
251,-0.780326759015701,-0.636695719776593,-0.870326759015701,-0.732326759015701,-0.740695719776593,-0.534695719776593
252,-0.785236591360812,-0.630524362971212,-0.809236591360812,-0.741236591360812,-0.734524362971212,-0.528524362971212
253,-0.79288200026002,-0.63816977187042,-0.81688200026002,-0.74888200026002,-0.74216977187042,-0.536169771870419
254,-0.801107792048836,-0.644559013285172,-0.823107792048836,-0.755107792048836,-0.748559013285172,-0.542559013285172
255,-0.809044466626982,-0.652495687863317,-0.831044466626982,-0.763044466626982,-0.756495687863317,-0.550495687863317
256,-0.822736339106873,-0.662172948792618,-0.844736339106873,-0.776736339106873,-0.766172948792618,-0.560172948792618
257,-0.834250005742527,-0.673686615428272,-0.856250005742527,-0.788250005742527,-0.777686615428272,-0.571686615428272
258,-0.856194784705741,-0.676617218089002,-0.926194784705741,-0.810194784705741,-0.780617218089002,-0.574617218089002
259,-0.857404414150727,-0.671291721316488,-0.881404414150727,-0.811404414150727,-0.775291721316487,-0.569291721316487
260,-0.871435031438565,-0.683998135421844,-0.895435031438566,-0.823435031438565,-0.787998135421844,-0.581998135421844
261,-0.8573131873195,-0.686729775458669,-0.8793131873195,-0.8053131873195,-0.790729775458669,-0.584729775458669
262,-0.893063218342103,-0.700237784284118,-0.917063218342103,-0.847063218342103,-0.804237784284118,-0.598237784284118
263,-0.911841230440194,-0.724311164236844,-0.937841230440194,-0.865841230440194,-0.828311164236844,-0.622311164236844
264,-0.930439168117186,-0.741591777739946,-0.954439168117186,-0.882439168117186,-0.845591777739946,-0.639591777739946
265,-1.02649499525236,-0.852171423272789,-1.04849499525236,-0.974494995252361,-0.956171423272789,-0.750171423272789
266,-1.03638124983197,-0.862763986139576,-1.05838124983197,-0.984381249831966,-0.966763986139575,-0.760763986139575
267,-1.0452644556507,-0.872303258229589,-1.0672644556507,-0.9932644556507,-0.976303258229589,-0.770303258229589
268,-1.06135316369757,-0.889100058171265,-1.08335316369757,-1.00935316369757,-0.993100058171265,-0.787100058171265
269,-1.07091467237437,-0.899370852827583,-1.09291467237438,-1.01691467237437,-1.00337085282758,-0.797370852827583
270,-1.17926819994054,-0.931403799556811,-1.31926819994054,-1.01126819994054,-1.03540379955681,-0.829403799556811
271,-1.08420150721237,-0.912614152653199,-1.10620150721237,-1.03020150721237,-1.0166141526532,-0.810614152653199
272,-1.09000477114104,-0.921414937599927,-1.11400477114104,-1.03800477114104,-1.02541493759993,-0.819414937599927
273,-1.09778683263178,-0.933924503161371,-1.12378683263178,-1.04978683263178,-1.03792450316137,-0.831924503161371
274,-1.09298148898286,-0.93459639911344,-1.12098148898286,-1.04898148898286,-1.03859639911344,-0.83259639911344
275,-1.09798167465537,-0.941600269798956,-1.12798167465537,-1.05398167465537,-1.04560026979896,-0.839600269798956
276,-0.985115910130318,-0.845891298328984,-1.01511591013032,-0.943115910130318,-0.949891298328984,-0.743891298328984
277,-0.988890481605988,-0.850573196867292,-1.01889048160599,-0.946890481605988,-0.954573196867292,-0.748573196867292
278,-0.998753294525917,-0.859895532198747,-1.02875329452592,-0.954753294525917,-0.963895532198747,-0.757895532198747
279,-0.919388267936195,-0.781375699796186,-0.949388267936195,-0.875388267936195,-0.885375699796186,-0.679375699796186
280,-0.88290090139928,-0.745611024994071,-0.91290090139928,-0.83890090139928,-0.849611024994071,-0.643611024994071
281,-0.839924797627464,-0.704463069844344,-0.869924797627464,-0.795924797627464,-0.808463069844344,-0.602463069844344
282,-0.839444149515922,-0.704344857331423,-0.869444149515922,-0.795444149515922,-0.808344857331423,-0.602344857331423
283,-0.838852630991886,-0.702956884239401,-0.868852630991886,-0.794852630991886,-0.806956884239401,-0.600956884239401
284,-0.84820561823052,-0.714078778329581,-0.87820561823052,-0.80420561823052,-0.818078778329581,-0.612078778329581
285,-0.846637211795062,-0.713546257435803,-0.876637211795062,-0.802637211795062,-0.817546257435803,-0.611546257435803
286,-0.875441237630696,-0.730337304118891,-0.905441237630696,-0.833441237630696,-0.834337304118891,-0.62833730411889
