"Time","SPSC","SPSC_Reg","SPSC_LB","SPSC_UB","SPSC_Reg_LB","SPSC_Reg_UB"
238,-0.548967364689874,-0.610122153164952,-0.592967364689874,-0.500967364689874,-0.662122153164952,-0.558122153164952
239,-0.618396771089845,-0.676146370450796,-0.660396771089845,-0.570396771089845,-0.728146370450795,-0.624146370450795
240,-0.623874610420333,-0.681624209781283,-0.665874610420333,-0.575874610420333,-0.733624209781283,-0.629624209781283
241,-0.633139853917077,-0.690889453278028,-0.675139853917077,-0.585139853917077,-0.742889453278028,-0.638889453278028
242,-0.63878254703291,-0.696532146393861,-0.68078254703291,-0.59078254703291,-0.748532146393861,-0.644532146393861
243,-0.645127809854933,-0.702877409215883,-0.687127809854933,-0.597127809854933,-0.754877409215883,-0.650877409215883
244,-0.654148673097512,-0.711898272458463,-0.696148673097512,-0.606148673097512,-0.763898272458463,-0.659898272458463
245,-0.671427973775458,-0.715653739457969,-0.713427973775458,-0.625427973775458,-0.767653739457969,-0.663653739457969
246,-0.666657554585156,-0.724407153946107,-0.708657554585156,-0.618657554585156,-0.776407153946107,-0.672407153946107
247,-0.683086112311227,-0.731963336413237,-0.725086112311227,-0.635086112311227,-0.783963336413237,-0.679963336413237
248,-0.678707412882543,-0.736238378939015,-0.720707412882543,-0.630707412882543,-0.788238378939014,-0.684238378939015
249,-0.686789507352227,-0.76813956594536,-0.728789507352227,-0.634789507352227,-0.82013956594536,-0.71613956594536
250,-0.793934908025935,-0.785485740190561,-0.919934908025935,-0.743934908025935,-0.837485740190561,-0.733485740190561
251,-0.800480456049375,-0.792031288214001,-0.926480456049375,-0.750480456049375,-0.844031288214001,-0.740031288214001
252,-0.874585990487838,-0.788163623671042,-0.952585990487838,-0.816585990487838,-0.840163623671042,-0.736163623671042
253,-0.918292468921622,-0.789574180335145,-1.00029246892162,-0.846292468921622,-0.841574180335145,-0.737574180335145
254,-0.929521982460104,-0.80118388628617,-1.0055219824601,-0.859521982460104,-0.85318388628617,-0.74918388628617
255,-0.948537523461416,-0.801551390390445,-1.06253752346142,-0.872537523461416,-0.853551390390445,-0.749551390390445
256,-0.955798724888443,-0.804251746682741,-1.07979872488844,-0.875798724888443,-0.856251746682741,-0.752251746682741
257,-0.9869947934715,-0.818404063709409,-1.1089947934715,-0.9489947934715,-0.870404063709408,-0.766404063709409
258,-0.992210576867461,-0.829220813469055,-1.10021057686746,-0.956210576867461,-0.881220813469055,-0.777220813469055
259,-1.02459115114046,-0.848475308147083,-1.14659115114046,-0.982591151140458,-0.900475308147083,-0.796475308147083
260,-1.0367656656456,-0.860649822652226,-1.1587656656456,-0.994765665645601,-0.912649822652226,-0.808649822652226
261,-1.04564689381552,-0.869531050822147,-1.16764689381552,-1.00364689381552,-0.921531050822147,-0.817531050822147
262,-1.05468873153217,-0.878572888538795,-1.17668873153217,-1.01268873153217,-0.930572888538795,-0.826572888538795
263,-1.08191514174811,-0.905799298754733,-1.20391514174811,-1.03991514174811,-0.957799298754733,-0.853799298754733
264,-1.10047488836589,-0.92182338409463,-1.22247488836588,-1.05647488836588,-0.97382338409463,-0.86982338409463
265,-1.09135785395406,-1.02739032122486,-1.21135785395406,-1.04335785395406,-1.07939032122486,-0.975390321224856
266,-1.10709569091069,-1.03909242966696,-1.22309569091069,-1.05709569091069,-1.09109242966696,-0.987092429666962
267,-1.12029264516698,-1.05043605383247,-1.23429264516698,-1.07029264516698,-1.10243605383247,-0.998436053832465
268,-1.13743000261936,-1.0665931557787,-1.25143000261936,-1.08743000261936,-1.1185931557787,-1.0145931557787
269,-1.11374465386983,-1.07000629288307,-1.24574465386983,-1.06774465386983,-1.12200629288307,-1.01800629288307
270,-1.11588121099936,-1.07284587414386,-1.24788121099936,-1.06988121099936,-1.12484587414386,-1.02084587414386
271,-1.08869240989926,-1.07655752965523,-1.11669240989926,-1.04069240989926,-1.12855752965523,-1.02455752965523
272,-1.11813548531399,-1.08861357883266,-1.14213548531399,-1.07013548531399,-1.14061357883266,-1.03661357883266
273,-1.11848090665915,-1.09823202702666,-1.14248090665915,-1.06848090665915,-1.15023202702666,-1.04623202702666
274,-1.11460906502836,-1.10372012831597,-1.13860906502836,-1.06260906502836,-1.15572012831597,-1.05172012831597
275,-1.09404601590992,-1.10561749347767,-1.12004601590992,-1.03804601590992,-1.15761749347767,-1.05361749347767
276,-0.951393697708899,-0.993131410336364,-0.969393697708899,-0.887393697708899,-1.04513141033636,-0.941131410336364
277,-0.874844567646599,-0.980108196181441,-0.868844567646599,-0.794844567646598,-1.03210819618144,-0.928108196181441
278,-0.880937619583895,-0.986201248118737,-0.874937619583895,-0.800937619583895,-1.03820124811874,-0.934201248118737
279,-0.783420800480218,-0.904370203754051,-0.779420800480218,-0.701420800480218,-0.956370203754051,-0.852370203754051
280,-0.747891839847357,-0.86884124312119,-0.743891839847357,-0.665891839847357,-0.92084124312119,-0.81684124312119
281,-0.708009355612926,-0.82895875888676,-0.704009355612926,-0.626009355612926,-0.88095875888676,-0.77695875888676
282,-0.717402683537451,-0.828096912773417,-0.715402683537451,-0.63940268353745,-0.880096912773417,-0.776096912773417
283,-0.711419070589047,-0.830573664328888,-0.713419070589047,-0.633419070589047,-0.882573664328888,-0.778573664328888
